Date,Open,High,Low,Close,Adj Close,Volume
2018-01-18,76.150002,78.400002,70.449997,71.250000,71.250000,5369900
2018-01-19,73.099998,78.349998,71.400002,77.650002,77.650002,5556000
2018-01-22,75.800003,83.599998,75.750000,77.400002,77.400002,7848600
2018-01-23,77.599998,82.750000,75.400002,80.900002,80.900002,6925900
2018-01-24,79.849998,82.900002,77.599998,79.050003,79.050003,4256900
2018-01-25,79.800003,80.000000,73.599998,73.949997,73.949997,3710700
2018-01-26,72.050003,77.089996,72.000000,74.449997,74.449997,2825700
2018-01-29,74.849998,80.400002,73.699997,77.550003,77.550003,3606200
2018-01-30,74.449997,77.800003,70.550003,71.250000,71.250000,3862600
2018-01-31,72.250000,73.949997,67.099998,68.699997,68.699997,3798200
2018-02-01,66.099998,69.900002,65.550003,66.650002,66.650002,3056200
2018-02-02,66.250000,67.199997,55.099998,56.000000,56.000000,6136200
2018-02-05,52.349998,55.549999,48.599998,49.500000,49.500000,5257700
2018-02-06,48.849998,57.000000,48.549999,55.000000,55.000000,4869900
2018-02-07,56.750000,60.799999,55.450001,56.150002,56.150002,4515500
2018-02-08,58.549999,58.700001,53.849998,53.950001,53.950001,3433900
2018-02-09,55.400002,60.000000,52.400002,58.599998,58.599998,3981000
2018-02-12,59.950001,60.240002,54.000000,55.650002,55.650002,4268000
2018-02-13,54.099998,57.750000,54.000000,56.650002,56.650002,2361300
2018-02-14,57.200001,59.700001,56.849998,59.349998,59.349998,2484800
2018-02-15,62.450001,67.650002,62.049999,67.099998,67.099998,6019300
2018-02-16,65.650002,68.400002,63.500000,64.150002,64.150002,4262500
2018-02-20,66.349998,68.900002,64.250000,64.949997,64.949997,4108100
2018-02-21,64.250000,66.349998,62.299999,63.450001,63.450001,2864000
2018-02-22,62.599998,63.770000,59.610001,61.049999,61.049999,2619000
2018-02-23,61.549999,64.750000,61.049999,63.750000,63.750000,2516300
2018-02-26,65.300003,66.750000,63.500000,64.400002,64.400002,2126400
2018-02-27,64.949997,65.699997,60.299999,60.900002,60.900002,2728500
2018-02-28,61.049999,62.880001,60.049999,60.400002,60.400002,1824200
2018-03-01,55.000000,58.700001,54.250000,57.750000,57.750000,4331400
2018-03-02,55.849998,61.150002,54.849998,60.549999,60.549999,2316200
2018-03-05,60.549999,61.099998,58.750000,60.549999,60.549999,2465200
2018-03-06,60.750000,62.820000,59.900002,61.150002,61.150002,2799500
2018-03-07,60.099998,62.349998,58.549999,60.049999,60.049999,2077600
2018-03-08,59.700001,63.450001,58.599998,63.049999,63.049999,2207800
2018-03-09,62.650002,63.500000,60.259998,61.099998,61.099998,2033000
2018-03-12,61.650002,62.099998,57.650002,57.849998,57.849998,2209800
2018-03-13,57.200001,58.299999,51.849998,52.099998,52.099998,3872500
2018-03-14,51.849998,51.950001,47.500000,48.500000,48.500000,4228700
2018-03-15,47.799999,48.750000,44.549999,48.200001,48.200001,5771600
2018-03-16,40.799999,46.549999,40.299999,45.700001,45.700001,7609300
2018-03-19,44.700001,48.849998,43.700001,47.799999,47.799999,4229300
2018-03-20,47.650002,48.299999,45.680000,46.450001,46.450001,2362800
2018-03-21,46.700001,48.400002,46.500000,47.799999,47.799999,1774000
2018-03-22,46.349998,47.299999,45.099998,45.250000,45.250000,1976500
2018-03-23,45.250000,46.700001,43.750000,45.200001,45.200001,1623400
2018-03-26,45.250000,45.849998,43.500000,44.599998,44.599998,1885300
2018-03-27,40.200001,41.200001,37.250000,37.919998,37.919998,4979700
2018-03-28,37.950001,38.750000,35.549999,36.599998,36.599998,3338900
2018-03-29,38.750000,38.900002,36.150002,36.250000,36.250000,3093100
2018-04-02,34.900002,35.450001,32.049999,32.849998,32.849998,3561200
2018-04-03,33.500000,34.250000,31.400000,32.450001,32.450001,4286200
