AAIT,0
AAL,13
AAME,1
AAOI,2
AAON,1
AAPL,750
AAVL,0
AAWW,0
AAXJ,0
ABAC,0
ABAX,0
ABCB,0
ABCD,22
ABCO,0
ABCW,0
ABDC,0
ABGB,0
ABIO,22
ABMD,1
ABTL,0
ABY,1
ACAD,5
ACAS,0
ACAT,1
ACET,1
ACFC,0
ACFN,0
ACGL,0
ACHC,3
ACHN,10
ACIW,0
ACLS,0
ACNB,0
ACOR,1
ACPW,0
ACRX,31
ACSF,0
ACST,14
ACTA,0
ACTG,0
ACTS,0
ACUR,0
ACWI,0
ACWX,0
ACXM,0
ADAT,0
ADBE,34
ADEP,0
ADES,0
ADHD,2
ADI,1
ADMA,6
ADMP,4
ADMS,2
ADNC,0
ADP,2
ADRA,0
ADRD,0
ADRE,0
ADRU,0
ADSK,2
ADTN,0
ADUS,1
ADVS,0
ADXS,7
ADXSW,0
AEGN,0
AEGR,0
AEHR,0
AEIS,0
AEPI,0
AERI,0
AETI,22
AEY,0
AEZS,4
AFAM,0
AFCB,0
AFFX,0
AFH,3
AFMD,8
AFOP,0
AFSI,0
AGEN,21
AGII,0
AGIIL,0
AGIO,0
AGNC,1
AGNCB,0
AGNCP,0
AGND,0
AGRX,12
AGTC,0
AGYS,0
AGZD,0
AHGP,0
AHPI,0
AIMC,0
AINV,0
AIQ,0
AIRM,0
AIRR,0
AIRT,0
AIXG,0
AKAM,4
AKAO,8
AKBA,0
AKER,247
AKRX,13
ALCO,0
ALDR,0
ALDX,3
ALGN,11
ALGT,3
ALIM,0
ALKS,1
ALLB,0
ALLT,0
ALNY,0
ALOG,0
ALOT,26
ALQA,40
ALSK,0
ALTR,6
ALXA,0
ALXN,1
AMAG,5
AMAT,31
AMBA,3
AMBC,0
AMBCW,0
AMCC,0
AMCF,0
AMCN,0
AMCX,0
AMD,3809
AMDA,2
AMED,2
AMGN,5
AMIC,0
AMKR,1
AMNB,0
AMOT,0
AMOV,0
AMPH,0
AMRB,0
AMRI,0
AMRK,0
AMRN,69
AMRS,21
AMSC,0
AMSF,0
AMSG,0
AMSGP,0
AMSWA,0
AMTX,18
AMWD,0
AMZN,611
ANAC,0
ANAD,0
ANAT,0
ANCB,0
ANCI,0
ANCX,0
ANDE,0
ANGI,1
ANGO,0
ANIK,0
ANIP,0
ANSS,0
ANTH,14
ANY,97
AOSL,0
APAGF,0
APDN,9
APDNW,0
APEI,0
APOG,0
APOL,0
APPY,2
APRI,3
